City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tarariras,-34.1618,-57.4928,60.04,76,91,9.04,UY,1687446000
1,sittwe,20.285,93.4857,75.58,98,100,3.0,MM,1687498200
2,cacoal,-11.5763,-61.689,90.21,42,0,4.56,BR,1687449600
3,homs,34.6863,36.7023,91.38,22,0,18.28,SY,1687510800
4,fuding,27.7232,119.809,69.66,99,100,3.87,CN,1687492800
5,nampula,-15.3194,39.6849,84.38,41,47,10.8,MZ,1687510800
6,maun,-21.0913,22.988,79.34,22,0,13.18,BW,1687514400
7,puerto lempira,14.8302,-83.0777,83.28,80,100,18.05,NI,1687453200
8,port nelson,23.8114,-74.7541,82.81,82,100,16.91,BS,1687453200
9,olonkinbyen,81.592,-19.7737,35.19,89,93,7.38,GL,1687442400
10,tuburan,6.8822,122.5259,83.43,75,26,7.23,PH,1687489200
11,orumiyeh,37.5226,45.4382,78.69,51,0,22.44,IR,1687509000
12,tommot,57.9002,129.4772,58.69,61,26,7.49,RU,1687489200
13,sishilichengzi,40.1262,88.2219,99.91,14,79,22.35,CN,1687500000
14,kaa-khem,52.9193,95.0854,71.58,33,79,12.68,RU,1687496400
15,marabba,12.6105,32.6362,94.33,46,63,19.13,SD,1687510800
16,yellowknife,65.477,-111.3939,65.12,34,19,11.56,CA,1687460400
17,ola,64.9396,157.1505,69.93,36,27,23.38,RU,1687482000
18,nyurba,64.7636,118.3284,76.93,37,97,12.48,RU,1687492800
19,chebba,35.1616,11.3752,78.66,67,0,9.31,TN,1687518000
20,oban,55.944,-6.0045,58.93,95,98,17.38,GB,1687521600
21,spring creek,38.5905,-115.5313,80.46,8,81,17.05,US,1687460400
22,bomi,7.2003,-11.6644,81.66,81,95,8.72,SL,1687521600
23,galesong,-5.6039,117.3192,82.38,77,88,15.86,ID,1687492800
24,vyazemskiy,46.6499,136.2424,77.05,36,100,9.08,RU,1687485600
25,iwaki,37.1125,140.9312,71.71,86,100,8.43,JP,1687485600
26,ilulissat,73.3336,-46.3893,17.83,88,9,15.39,GL,1687442400
27,boca suno,-2.1622,-76.0684,84.0,73,60,2.48,PE,1687453200
28,mwene-ditu,-7.7997,22.1556,89.19,22,0,6.67,CD,1687514400
29,kareli,23.1272,78.9416,92.03,52,95,14.43,IN,1687501800
30,tahara,34.5058,137.1197,78.01,81,100,9.66,JP,1687485600
31,gurupi,-11.767,-49.1357,91.76,34,5,11.12,BR,1687446000
32,elk city,35.1084,-99.8211,86.49,57,49,13.62,US,1687456800
33,kisesa,-3.1704,34.351,81.66,37,98,11.12,TZ,1687510800
34,khandyga,67.3954,135.9898,78.21,31,100,7.85,RU,1687485600
35,asaita,11.3268,41.6474,102.31,24,0,10.78,ET,1687510800
36,saint stephens,35.9457,-81.1923,64.04,99,100,8.43,US,1687453200
37,paranhos,-23.6591,-55.2866,80.04,68,85,7.87,BR,1687446000
38,ketchikan,55.4176,-130.969,63.81,69,93,3.06,US,1687464000
39,zhezqazghan,47.7726,67.3788,73.72,24,10,27.96,KZ,1687503600
40,ingeniero jacobacci,-40.6667,-70.1184,48.9,82,94,16.08,AR,1687449600
41,hargeysa,8.5231,44.3447,83.25,46,58,26.4,ET,1687510800
42,qamdo,34.9396,97.1083,54.81,34,58,18.75,CN,1687496400
43,cumaribo,4.8078,-70.5091,87.33,65,58,6.4,CO,1687449600
44,krasnogorskoye,52.1493,86.324,69.96,53,78,9.6,RU,1687500000
45,miles city,45.5831,-105.5626,69.04,55,80,12.55,US,1687460400
46,huainan,32.7397,116.8884,90.97,41,100,11.74,CN,1687492800
47,sretensk,52.778,117.6469,83.44,21,10,7.45,RU,1687492800
48,badger,62.7651,-143.6778,57.22,94,100,4.7,US,1687467600
49,pizarro,5.6422,-77.6932,83.01,78,62,20.29,CO,1687453200
50,mazidagi,37.5685,40.5059,86.54,32,0,16.6,TR,1687510800
51,tura,73.0317,98.8255,59.49,44,8,8.52,RU,1687496400
52,zuunmod,47.0437,106.8972,81.09,35,100,15.52,MN,1687492800
53,moranbah,-22.5475,147.9043,77.65,47,71,10.85,AU,1687485600
54,paoua,6.8278,16.0405,76.69,81,93,5.86,CF,1687514400
55,el bolson,-41.5391,-71.7504,30.22,99,100,7.65,AR,1687449600
56,kiruna,68.1681,18.9654,60.46,86,100,6.4,SE,1687514400
57,temiskaming shores,47.5862,-79.9725,86.0,38,4,6.71,CA,1687453200
58,pingliang,35.4735,107.4374,88.41,39,98,15.39,CN,1687492800
59,obo,6.4622,25.8715,75.25,85,100,3.85,CF,1687514400
60,lusambo,-4.6506,23.2535,91.62,53,93,3.11,CD,1687514400
61,kirsanov,52.7171,42.4284,63.66,85,100,8.12,RU,1687510800
62,udachny,74.04,108.3446,60.73,38,21,15.68,RU,1687496400
63,zhanaozen,44.0212,53.6247,79.59,14,0,16.67,KZ,1687507200
64,hafnarfjordur,63.5949,-22.063,51.55,97,100,32.53,IS,1687525200
65,cinisi,38.8504,13.0291,77.18,84,2,10.42,IT,1687518000
66,yulinshi,37.3434,110.4384,94.37,25,79,16.64,CN,1687492800
67,banavar,13.4484,76.2687,85.46,56,100,12.66,IN,1687501800
68,saudarkrokur,76.4222,-19.1689,33.75,99,100,9.91,GL,1687442400
69,thompson,75.4204,-88.9833,33.66,90,42,12.53,CA,1687453200
70,alice springs,-27.1108,130.5209,61.77,38,0,21.16,AU,1687487400
71,mae hong son,20.2587,98.1758,86.36,61,97,7.23,MM,1687494600
72,iskateley,74.2501,57.174,35.46,84,83,7.58,RU,1687510800
